,Latest: Time (s),Latest: Pressure (kPa)
1054,2.635,200.503253278
1055,2.6375,200.443321055
1056,2.64,200.443321055
1057,2.6425,200.503253278
1058,2.645,200.443321055
1059,2.6475,200.443321055
1060,2.65,200.443321055
1061,2.6525,200.443321055
1062,2.655,200.443321055
1063,2.6575,200.443321055
1064,2.66,200.443321055
1065,2.6625,200.443321055
1066,2.665,200.503253278
1067,2.6675,200.443321055
1068,2.67,200.37964306799998
1069,2.6725,200.443321055
1070,2.675,200.443321055
1071,2.6775,200.443321055
1072,2.68,200.443321055
1073,2.6825,200.443321055
1074,2.685,200.443321055
1075,2.6875,200.443321055
1076,2.69,200.443321055
1077,2.6925,200.443321055
1078,2.695,200.37964306799998
1079,2.6975,200.443321055
1080,2.7,200.443321055
1081,2.7025,200.443321055
1082,2.705,200.443321055
1083,2.7075,200.443321055
1084,2.71,200.443321055
1085,2.7125,200.37964306799998
1086,2.715,200.443321055
1087,2.7175,200.443321055
1088,2.72,200.443321055
1089,2.7225,200.37964306799998
1090,2.725,200.443321055
1091,2.7275,200.443321055
1092,2.73,200.443321055
1093,2.7325,200.37964306799998
1094,2.735,200.37964306799998
1095,2.7375,200.37964306799998
1096,2.74,200.443321055
1097,2.7425,200.37964306799998
1098,2.745,200.37964306799998
1099,2.7475,200.37964306799998
1100,2.75,200.37964306799998
1101,2.7525,200.37964306799998
1102,2.755,200.37964306799998
1103,2.7575,200.37964306799998
1104,2.76,200.37964306799998
1105,2.7625,200.37964306799998
1106,2.765,200.37964306799998
1107,2.7675,200.319710844
1108,2.77,200.319710844
1109,2.7725,200.37964306799998
1110,2.775,200.37964306799998
1111,2.7775,200.319710844
1112,2.78,200.319710844
1113,2.7825,200.319710844
1114,2.785,200.319710844
1115,2.7875,200.319710844
1116,2.79,200.319710844
1117,2.7925,200.25977862099998
1118,2.795,200.319710844
1119,2.7975,200.319710844
1120,2.8,200.319710844
1121,2.8025,200.319710844
1122,2.805,200.319710844
1123,2.8075,200.25977862099998
1124,2.81,200.25977862099998
1125,2.8125,200.196100634
1126,2.815,200.25977862099998
1127,2.8175,200.25977862099998
1128,2.82,200.25977862099998
1129,2.8225,200.196100634
1130,2.825,200.196100634
1131,2.8275,200.196100634
1132,2.83,200.196100634
1133,2.8325,200.196100634
1134,2.835,200.196100634
1135,2.8375,200.196100634
1136,2.84,200.196100634
1137,2.8425,200.196100634
1138,2.845,200.196100634
1139,2.8475,200.196100634
1140,2.85,200.196100634
1141,2.8525,200.196100634
1142,2.855,200.196100634
1143,2.8575,200.13616841
1144,2.86,200.196100634
1145,2.8625,200.196100634
1146,2.865,200.13616841
1147,2.8675,200.13616841
1148,2.87,200.196100634
1149,2.8725,200.13616841
1150,2.875,200.13616841
1151,2.8775,200.13616841
1152,2.88,200.13616841
1153,2.8825,200.13616841
1154,2.885,200.13616841
1155,2.8875,200.13616841
1156,2.89,200.13616841
1157,2.8925,200.13616841
1158,2.895,200.13616841
1159,2.8975,200.13616841
1160,2.9,200.13616841
1161,2.9025,200.13616841
1162,2.905,200.13616841
1163,2.9075,200.13616841
1164,2.91,200.13616841
1165,2.9125,200.13616841
1166,2.915,200.13616841
1167,2.9175,200.13616841
1168,2.92,200.13616841
1169,2.9225,200.13616841
1170,2.925,200.13616841
1171,2.9275,200.13616841
1172,2.93,200.012558199
1173,2.9325,200.076236187
1174,2.935,200.076236187
1175,2.9375,200.012558199
1176,2.94,200.012558199
1177,2.9425,200.012558199
1178,2.945,200.012558199
1179,2.9475,200.012558199
1180,2.95,200.012558199
1181,2.9525,200.012558199
1182,2.955,199.95262597599998
1183,2.9575,200.012558199
1184,2.96,200.012558199
1185,2.9625,199.95262597599998
1186,2.965,199.95262597599998
1187,2.9675,199.95262597599998
1188,2.97,199.892693753
1189,2.9725,199.892693753
1190,2.975,199.892693753
1191,2.9775,199.892693753
1192,2.98,199.892693753
1193,2.9825,199.892693753
1194,2.985,199.892693753
1195,2.9875,199.892693753
1196,2.99,199.892693753
1197,2.9925,199.892693753
