,Unnamed: 0,Latest: Time (s),Latest: Pressure (kPa)
594,594,1.485,102.180695079
595,595,1.4875,102.180695079
596,596,1.49,102.180695079
597,597,1.4925,102.180695079
598,598,1.495,102.180695079
599,599,1.4975,102.180695079
600,600,1.5,102.180695079
601,601,1.5025,102.180695079
602,602,1.505,102.180695079
603,603,1.5075,102.180695079
604,604,1.51,102.120762855
605,605,1.5125,102.180695079
606,606,1.515,102.180695079
607,607,1.5175,102.120762855
608,608,1.52,102.120762855
609,609,1.5225,102.180695079
610,610,1.525,102.180695079
611,611,1.5275,102.180695079
612,612,1.53,102.180695079
613,613,1.5325,102.180695079
614,614,1.535,102.180695079
615,615,1.5375,102.180695079
616,616,1.54,102.180695079
617,617,1.5425,102.120762855
618,618,1.545,102.120762855
619,619,1.5475,102.180695079
620,620,1.55,102.180695079
621,621,1.5525,102.180695079
622,622,1.555,102.180695079
623,623,1.5575,102.180695079
624,624,1.56,102.180695079
625,625,1.5625,102.180695079
626,626,1.565,102.180695079
627,627,1.5675,102.180695079
628,628,1.57,102.180695079
629,629,1.5725,102.180695079
630,630,1.575,102.120762855
631,631,1.5775,102.120762855
632,632,1.58,102.180695079
633,633,1.5825,102.180695079
634,634,1.585,102.120762855
635,635,1.5875,102.180695079
636,636,1.59,102.180695079
637,637,1.5925,102.180695079
638,638,1.595,102.120762855
639,639,1.5975,102.180695079
640,640,1.6,102.180695079
641,641,1.6025,102.180695079
642,642,1.605,102.180695079
643,643,1.6075,102.180695079
644,644,1.61,102.180695079
645,645,1.6125,102.180695079
646,646,1.615,102.180695079
647,647,1.6175,102.180695079
648,648,1.62,102.120762855
649,649,1.6225,102.180695079
650,650,1.625,102.180695079
651,651,1.6275,102.120762855
652,652,1.63,102.120762855
653,653,1.6325,102.120762855
654,654,1.635,102.180695079
655,655,1.6375,102.180695079
656,656,1.64,102.180695079
657,657,1.6425,102.180695079
658,658,1.645,102.180695079
659,659,1.6475,102.120762855
660,660,1.65,102.180695079
661,661,1.6525,102.120762855
662,662,1.655,102.180695079
663,663,1.6575,102.180695079
664,664,1.66,102.180695079
665,665,1.6625,102.180695079
666,666,1.665,102.180695079
667,667,1.6675,102.180695079
668,668,1.67,102.180695079
669,669,1.6725,102.180695079
670,670,1.675,102.180695079
671,671,1.6775,102.180695079
672,672,1.68,102.120762855
673,673,1.6825,102.180695079
674,674,1.685,102.120762855
675,675,1.6875,102.120762855
676,676,1.69,102.180695079
677,677,1.6925,102.120762855
678,678,1.695,102.180695079
679,679,1.6975,102.120762855
680,680,1.7,102.180695079
681,681,1.7025,102.120762855
682,682,1.705,102.180695079
