"Latest: Time (s)","Latest: Pressure (kPa)"
2.505,200.196100634
2.5075,200.13616841
2.51,200.13616841
2.5125,200.13616841
2.515,200.13616841
2.5175,200.13616841
2.52,200.13616841
2.5225,200.13616841
2.525,200.13616841
2.5275,200.13616841
2.53,200.13616841
2.5325,200.13616841
2.535,200.13616841
2.5375,200.13616841
2.54,200.076236187
2.5425,200.076236187
2.545,200.076236187
2.5475,200.076236187
2.55,200.012558199
2.5525,200.076236187
2.555,200.076236187
2.5575,200.012558199
2.56,200.076236187
2.5625,200.012558199
2.565,200.012558199
2.5675,200.012558199
2.57,200.012558199
2.5725,200.076236187
2.575,200.076236187
2.5775,200.012558199
2.58,200.012558199
2.5825,200.012558199
2.585,200.012558199
2.5875,200.012558199
2.59,200.012558199
2.5925,199.952625976
2.595,200.012558199
2.5975,199.952625976
2.6,200.012558199
2.6025,199.952625976
2.605,200.012558199
2.6075,199.952625976
2.61,199.892693753
2.6125,199.952625976
2.615,199.952625976
2.6175,199.892693753
2.62,199.952625976
2.6225,199.952625976
2.625,199.952625976
2.6275,199.892693753
2.63,199.892693753
2.6325,199.892693753
2.635,199.892693753
2.6375,199.892693753
2.64,199.952625976
2.6425,199.952625976
2.645,199.892693753
2.6475,199.892693753
2.65,199.892693753
2.6525,199.892693753
2.655,199.892693753
2.6575,199.892693753
2.66,199.892693753
2.6625,199.892693753
2.665,199.829015765
2.6675,199.892693753
2.67,199.892693753
2.6725,199.829015765
2.675,199.829015765
2.6775,199.829015765
2.68,199.829015765
2.6825,199.829015765
2.685,199.829015765
2.6875,199.769083542
2.69,199.769083542
2.6925,199.769083542
2.695,199.769083542
2.6975,199.769083542
2.7,199.769083542
2.7025,199.769083542
2.705,199.769083542
2.7075,199.709151319
2.71,199.709151319
2.7125,199.709151319
2.715,199.709151319
2.7175,199.709151319
2.72,199.709151319
2.7225,199.709151319
2.725,199.709151319
2.7275,199.709151319
2.73,199.709151319
2.7325,199.709151319
2.735,199.709151319
2.7375,199.645473331
2.74,199.645473331
2.7425,199.709151319
2.745,199.709151319
2.7475,199.645473331
2.75,199.645473331
2.7525,199.645473331
2.755,199.645473331
2.7575,199.645473331
2.76,199.645473331
2.7625,199.585541108
2.765,199.645473331
2.7675,199.585541108
2.77,199.585541108
2.7725,199.585541108
2.775,199.645473331
2.7775,199.585541108
2.78,199.585541108
2.7825,199.521863121
2.785,199.521863121
2.7875,199.585541108
2.79,199.521863121
2.7925,199.521863121
2.795,199.521863121
2.7975,199.521863121
2.8,199.521863121
2.8025,199.521863121
2.805,199.521863121
2.8075,199.521863121
2.81,199.521863121
2.8125,199.521863121
2.815,199.521863121
2.8175,199.461930897
2.82,199.461930897
2.8225,199.521863121
2.825,199.461930897
2.8275,199.461930897
2.83,199.461930897
2.8325,199.461930897
2.835,199.461930897
2.8375,199.461930897
2.84,199.461930897
2.8425,199.461930897
2.845,199.461930897
2.8475,199.461930897
2.85,199.461930897
2.8525,199.461930897
2.855,199.461930897
2.8575,199.461930897
2.86,199.401998674
2.8625,199.461930897
2.865,199.401998674
2.8675,199.401998674
2.87,199.461930897
2.8725,199.401998674
2.875,199.401998674
2.8775,199.401998674
2.88,199.401998674
2.8825,199.401998674
2.885,199.401998674
2.8875,199.401998674
2.89,199.401998674
2.8925,199.401998674
2.895,199.401998674
2.8975,199.401998674
2.9,199.401998674
2.9025,199.401998674
2.905,199.401998674
2.9075,199.338320687
2.91,199.338320687
2.9125,199.401998674
2.915,199.338320687
2.9175,199.401998674
2.92,199.338320687
2.9225,199.338320687
2.925,199.338320687
2.9275,199.338320687
2.93,199.338320687
2.9325,199.338320687
2.935,199.278388463
2.9375,199.338320687
2.94,199.338320687
2.9425,199.278388463
2.945,199.338320687
2.9475,199.338320687
2.95,199.21845624
2.9525,199.278388463
2.955,199.278388463
2.9575,199.21845624
2.96,199.278388463
2.9625,199.278388463
2.965,199.21845624
2.9675,199.278388463
2.97,199.21845624
2.9725,199.21845624
2.975,199.21845624
2.9775,199.21845624
2.98,199.278388463
2.9825,199.21845624
2.985,199.21845624
2.9875,199.21845624
2.99,199.21845624
2.9925,199.21845624
2.995,199.21845624
2.9975,199.21845624
3,199.21845624
3.0025,199.21845624
3.005,199.21845624
3.0075,199.154778253
3.01,199.154778253
3.0125,199.154778253
3.015,199.154778253
3.0175,199.154778253
3.02,199.21845624
3.0225,199.154778253
3.025,199.154778253
3.0275,199.21845624
3.03,199.154778253
3.0325,199.154778253
3.035,199.154778253
3.0375,199.154778253
3.04,199.154778253
3.0425,199.154778253
3.045,199.154778253
3.0475,199.154778253
3.05,199.154778253
3.0525,199.154778253
3.055,199.154778253
3.0575,199.154778253
3.06,199.154778253
3.0625,199.154778253
3.065,199.154778253
3.0675,199.154778253
3.07,199.094846029
3.0725,199.094846029
3.075,199.154778253
3.0775,199.154778253
3.08,199.094846029
3.0825,199.154778253
3.085,199.154778253
3.0875,199.154778253
3.09,199.154778253
3.0925,199.154778253
3.095,199.094846029
3.0975,199.154778253
3.1,199.094846029
3.1025,199.094846029
3.105,199.154778253
3.1075,199.094846029
3.11,199.094846029
3.1125,199.094846029
3.115,199.094846029
3.1175,199.094846029
3.12,199.094846029
3.1225,199.094846029
3.125,199.094846029
3.1275,199.034913806
3.13,199.094846029
3.1325,199.034913806
3.135,199.034913806
3.1375,199.034913806
3.14,199.034913806
3.1425,199.034913806
3.145,199.034913806
3.1475,198.971235818
3.15,199.034913806
3.1525,199.034913806
3.155,199.034913806
3.1575,199.034913806
3.16,199.034913806
3.1625,199.034913806
3.165,199.034913806
3.1675,198.971235818
3.17,198.971235818
3.1725,198.971235818
3.175,198.971235818
3.1775,198.971235818
3.18,198.971235818
3.1825,199.034913806
3.185,198.971235818
3.1875,198.971235818
3.19,198.971235818
3.1925,198.971235818
3.195,198.971235818
3.1975,198.971235818
3.2,198.971235818
3.2025,198.971235818
3.205,198.971235818
3.2075,198.787693384
3.21,198.787693384
3.2125,198.971235818
3.215,198.787693384
3.2175,198.727761161
3.22,198.727761161
3.2225,198.787693384
3.225,198.787693384
3.2275,198.727761161
3.23,198.787693384
3.2325,198.727761161
3.235,198.727761161
3.2375,198.727761161
3.24,198.727761161
3.2425,198.787693384
3.245,198.727761161
3.2475,198.727761161
3.25,198.727761161
3.2525,198.727761161
3.255,198.727761161
3.2575,198.727761161
3.26,198.727761161
3.2625,198.727761161
3.265,198.727761161
3.2675,198.727761161
3.27,198.727761161
3.2725,198.727761161
3.275,198.727761161
3.2775,198.727761161
3.28,198.727761161
3.2825,198.727761161
3.285,198.727761161
3.2875,198.727761161
3.29,198.727761161
3.2925,198.727761161
3.295,198.727761161
3.2975,198.727761161
3.3,198.727761161
3.3025,198.727761161
3.305,198.727761161
3.3075,198.727761161
3.31,198.727761161
3.3125,198.727761161
